time,price_t,price_tplus,pred_tplus,spread,position,pnl,pnl_cum
2018-12-12 21:00:00,72.29,68.3,69.78468,1.4846832275390653,-1,3.990000000000009,296.5
2018-12-12 22:00:00,68.3,62.48,65.16804,2.6880374145507844,-1,5.82,302.32
2018-12-12 23:00:00,62.48,58.17,61.298588,3.128587799072264,-1,4.309999999999995,306.63
2018-12-13 00:00:00,58.17,55.19,57.287872,2.0978723144531273,-1,2.980000000000004,309.61
2018-12-13 01:00:00,55.19,52.11,54.475433,2.3654333496093756,-1,3.0799999999999983,312.69
2018-12-13 02:00:00,52.11,51.24,51.938835,0.6988351440429668,-1,0.8699999999999974,313.56
2018-12-13 03:00:00,51.24,50.73,52.497234,1.767234344482425,-1,0.5100000000000051,314.07
2018-12-13 04:00:00,50.73,51.02,52.79325,1.7732510375976531,-1,-0.29000000000000625,313.78
2018-12-13 05:00:00,51.02,55.6,56.217754,0.6177543640136705,-1,-4.579999999999998,309.2
2018-12-13 06:00:00,55.6,65.51,64.40165,-1.1083505249023489,1,9.910000000000004,319.11
2018-12-13 07:00:00,65.51,72.21,70.743904,-1.4660958862304625,1,6.699999999999989,325.81
2018-12-13 08:00:00,72.21,73.02,74.44812,1.428120117187504,-1,-0.8100000000000023,325.0
2018-12-13 09:00:00,73.02,74.32,74.766495,0.4464947509765693,-1,-1.2999999999999972,323.7
2018-12-13 10:00:00,74.32,73.57,74.75782,1.187820129394538,-1,0.75,324.45
2018-12-13 11:00:00,73.57,73.64,73.33318,-0.3068167114257818,1,0.07000000000000739,324.52
2018-12-13 12:00:00,73.64,71.53,73.34635,1.8163516235351551,-1,2.1099999999999994,326.63
2018-12-13 13:00:00,71.53,69.59,69.69487,0.10486999511718409,-1,1.9399999999999977,328.57
2018-12-13 14:00:00,69.59,66.78,67.94468,1.1646792602539051,-1,2.8100000000000023,331.38
2018-12-13 15:00:00,66.78,65.61,66.3162,0.7062002563476568,-1,1.1700000000000017,332.55
2018-12-13 16:00:00,65.61,68.23,67.20457,-1.0254330444335977,1,2.6200000000000045,335.17
2018-12-13 17:00:00,68.23,73.77,72.856026,-0.9139743041992148,1,5.539999999999992,340.71000000000004
2018-12-13 18:00:00,73.77,74.46,73.82632,-0.6336831665039,1,0.6899999999999977,341.40000000000003
2018-12-13 19:00:00,74.46,75.01,73.87033,-1.1396691894531301,1,0.5500000000000114,341.95000000000005
2018-12-13 20:00:00,75.01,73.3,73.46555,0.1655532836914091,-1,1.710000000000008,343.6600000000001
2018-12-13 21:00:00,73.3,70.83,70.57113,-0.25887115478515454,1,-2.469999999999999,341.19000000000005
2018-12-13 22:00:00,70.83,64.79,66.4603,1.6702966308593687,-1,6.039999999999992,347.23
2018-12-13 23:00:00,64.79,56.12,59.878292,3.758292083740237,-1,8.670000000000009,355.90000000000003
2018-12-14 00:00:00,56.12,55.0,55.19933,0.19932937622070312,-1,1.1199999999999974,357.02000000000004
2018-12-14 01:00:00,55.0,53.26,54.83158,1.5715811157226582,-1,1.740000000000002,358.76000000000005
2018-12-14 02:00:00,53.26,52.8,53.577057,0.7770568847656278,-1,0.46000000000000085,359.22
2018-12-14 03:00:00,52.8,52.98,53.851177,0.871177215576175,-1,-0.17999999999999972,359.04
2018-12-14 04:00:00,52.98,54.55,55.499187,0.9491874694824247,-1,-1.5700000000000003,357.47
2018-12-14 05:00:00,54.55,57.02,60.26125,3.241249542236325,-1,-2.470000000000006,355.0
2018-12-14 06:00:00,57.02,67.84,64.88756,-2.952442016601566,1,10.82,365.82
2018-12-14 07:00:00,67.84,72.68,72.4411,-0.23889892578125682,1,4.840000000000003,370.65999999999997
2018-12-14 08:00:00,72.68,73.18,74.32075,1.1407473754882744,-1,-0.5,370.15999999999997
2018-12-14 09:00:00,73.18,74.71,74.146706,-0.5632943725585875,1,1.529999999999987,371.68999999999994
2018-12-14 10:00:00,74.71,74.16,74.542465,0.3824652099609409,-1,0.5499999999999972,372.23999999999995
2018-12-14 11:00:00,74.16,72.28,72.882324,0.6023242187499989,-1,1.8799999999999955,374.11999999999995
2018-12-14 12:00:00,72.28,69.85,70.79418,0.9441818237304744,-1,2.430000000000007,376.54999999999995
2018-12-14 13:00:00,69.85,67.86,68.842125,0.9821249389648443,-1,1.9899999999999949,378.53999999999996
2018-12-14 14:00:00,67.86,67.5,66.908325,-0.5916748046875,1,-0.35999999999999943,378.17999999999995
2018-12-14 15:00:00,67.5,69.22,68.50019,-0.7198092651367176,1,1.7199999999999989,379.9
2018-12-14 16:00:00,69.22,72.51,73.07102,0.5610220336914011,-1,-3.2900000000000063,376.60999999999996
2018-12-14 17:00:00,72.51,76.14,74.74698,-1.3930212402343756,1,3.6299999999999955,380.23999999999995
2018-12-14 18:00:00,76.14,76.53,76.335526,-0.19447448730468864,1,0.39000000000000057,380.62999999999994
